,fluxes
DM_fe3hox-un_e,0.0
DM_fecrm_e,0.0
DM_fecrm-un_e,0.0
DM_feenter_e,0.0
DM_feoxam_e,0.0
DM_feoxam-un_e,0.0
DM_for_e,0.0
DM_fru_e,0.0
DM_frulys_e,0.0
DM_fruur_e,-0.0
DM_fuc-L_e,-0.0
DM_fum_e,0.0
DM_fusa_e,-0.0
DM_g1p_e,0.0
DM_g3pc_e,0.0
DM_g3pe_e,0.0
DM_g3pg_e,0.0
DM_g3pi_e,0.0
DM_g3ps_e,0.0
DM_g6p_e,0.0
DM_gal_e,0.0
DM_gal-bD_e,0.0
DM_gal1p_e,0.0
DM_galct-D_e,-0.0
DM_galctn-D_e,0.0
DM_galctn-L_e,0.0
DM_galt_e,0.0
DM_galur_e,-0.0
DM_gam_e,0.0
DM_gam6p_e,0.0
DM_gbbtn_e,-0.0
DM_gdp_e,0.0
DM_glc_e,0.0
DM_glcn_e,0.0
DM_glcr_e,-0.0
DM_glcur_e,0.0
DM_glcur1p_e,0.0
DM_gln-L_e,0.0
DM_glu-L_e,0.0
DM_gly_e,0.0
DM_glyald_e,0.0
DM_glyb_e,0.0
DM_glyc_e,0.0
DM_glyc-R_e,0.0
DM_glycogenn1_c,-0.016653121633790464
DM_bglycogenn1_c,0.0
DM_glyc2p_e,0.0
DM_glyc3p_e,0.0
DM_glyclt_e,0.0
DM_gmp_e,0.0
DM_gsn_e,0.0
DM_gthox_e,-0.0
DM_gthrd_e,0.0
DM_gtp_e,0.0
DM_gua_e,0.0
DM_h_e,-0.5750467689395653
DM_h2_e,-0.0
DM_h2o_e,1.484770984322563
DM_h2o2_e,0.0
DM_h2s_e,0.0
DM_hacolipa_e,-0.0
DM_halipa_e,-0.0
DM_hdca_e,0.0
DM_hdcea_e,0.0
DM_hg2_e,-0.0
DM_his-L_e,0.0
DM_hom-L_e,0.0
DM_hxa_e,0.0
DM_hxan_e,0.0
DM_idon-L_e,0.0
DM_ile-L_e,0.0
DM_imp_e,0.0
DM_indole_e,0.0
DM_inost_e,0.0
DM_ins_e,0.0
DM_isetac_e,0.0
DM_k_e,-0.020055634756357875
DM_kdo2lipid4_e,0.0
DM_lac-D_e,0.0
DM_lac-L_e,0.0
DM_lcts_e,-0.0
DM_leu-L_e,0.0
DM_lipa_e,0.0
DM_lipa_cold_e,0.0
DM_lipoate_e,0.0
DM_lys-L_e,0.0
DM_lyx-L_e,0.0
DM_mal-D_e,0.0
DM_mal-L_e,0.0
DM_malt_e,0.0
DM_malthx_e,0.0
DM_maltpt_e,0.0
DM_malttr_e,0.0
DM_maltttr_e,0.0
DM_man_e,0.0
DM_man6p_e,0.0
DM_manglyc_e,0.0
DM_melib_e,0.0
DM_meoh_e,2.160120066385683e-07
DM_met-D_e,-0.0
DM_met-L_e,0.0
DM_metsox-R-L_e,0.0
DM_metsox-S-L_e,0.0
DM_mg2_e,-0.0008913735453940522
DM_mincyc_e,-0.0
DM_minohp_e,0.0
DM_mmet_e,0.0
DM_mn2_e,-7.106795018408896e-05
DM_mnl_e,0.0
DM_mobd_e,-1.4796822454741932e-05
DM_mso3_e,0.0
DM_n2o_e,0.0
DM_na1_e,0.0
DM_nac_e,0.0
DM_nh4_e,-1.1347412045473146
DM_ni2_e,-3.3157843019020234e-05
DM_nmn_e,0.0
DM_no_e,0.0
DM_no2_e,0.0
DM_no3_e,0.0
DM_novbcn_e,-0.0
DM_o16a4colipa_e,0.0
DM_o2_e,-3.4798700823147604
DM_o2s_e,-0.0
DM_ocdca_e,0.0
DM_ocdcea_e,0.0
DM_octa_e,0.0
DM_orn_e,0.0
DM_orot_e,0.0
DM_pacald_e,0.0
DM_peamn_e,0.0
DM_phe-L_e,0.0
DM_pheme_e,0.0
DM_pi_e,-0.10008905526997178
DM_pnto-R_e,0.0
DM_ppa_e,0.0
DM_ppal_e,0.0
DM_pppn_e,-0.0
DM_ppt_e,0.0
DM_pro-L_e,0.0
DM_progly_e,0.0
DM_psclys_e,0.0
DM_pser-L_e,0.0
DM_ptrc_e,0.0
DM_pydam_e,0.0
DM_pydx_e,0.0
DM_pydxn_e,0.0
DM_pyr_e,-10.0
DM_quin_e,0.0
DM_r5p_e,0.0
DM_rfamp_e,-0.0
DM_rib-D_e,0.0
DM_rmn_e,0.0
DM_sbt-D_e,0.0
DM_sel_e,0.0
DM_ser-D_e,0.0
DM_ser-L_e,0.0
DM_skm_e,0.0
DM_slnt_e,0.0
DM_so2_e,-0.0
DM_so3_e,0.0
DM_so4_e,-0.027215676734403144
DM_spmd_e,0.0
DM_succ_e,0.0
DM_sucr_e,0.0
DM_sulfac_e,0.0
DM_tartr-D_e,0.0
DM_tartr-L_e,-0.0
DM_taur_e,0.0
DM_tcynt_e,0.0
DM_thm_e,0.0
DM_thr-L_e,0.0
DM_thrp_e,0.0
DM_thym_e,0.0
DM_thymd_e,0.0
DM_tma_e,0.0
DM_tmao_e,0.0
DM_tre_e,0.0
DM_trp-L_e,0.0
DM_tsul_e,0.0
DM_ttdca_e,0.0
DM_ttdcea_e,0.0
DM_ttrcyc_e,-0.0
DM_tungs_e,0.0
DM_tym_e,0.0
DM_tyr-L_e,0.0
DM_tyrp_e,0.0
DM_uacgam_e,0.0
DM_udpacgal_e,0.0
DM_udpg_e,0.0
DM_udpgal_e,0.0
DM_udpglcur_e,0.0
DM_ump_e,0.0
DM_ura_e,0.0
DM_urea_e,0.0
DM_uri_e,0.0
DM_val-L_e,0.0
DM_xan_e,0.0
DM_xmp_e,0.0
DM_xtsn_e,0.0
DM_xyl-D_e,0.0
DM_xylu-L_e,0.0
DM_zn2_e,-3.499394507544807e-05
12DGR120tipp,0.0
12DGR140tipp,0.0
12DGR141tipp,0.0
12DGR160tipp,0.0
12DGR161tipp,0.0
12DGR180tipp,0.0
12DGR181tipp,0.0
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,0.0
2AGPA141tipp,0.0
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,0.0
2AGPA181tipp,0.0
2AGPE120tipp,0.0
2AGPE140tipp,0.0
2AGPE141tipp,0.0
2AGPE160tipp,0.0
2AGPE161tipp,0.0
2AGPE180tipp,0.0
2AGPE181tipp,0.0
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.0
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,0.0
2AGPG140tipp,0.0
2AGPG141tipp,0.0
2AGPG160tipp,0.0
2AGPG161tipp,0.0
2AGPG180tipp,0.0
2AGPG181tipp,0.0
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,0.0
2AGPGAT161,0.0
2AGPGAT180,0.0
2AGPGAT181,0.0
2MAHMP,0.0
34dhpactex,0.0
3AMACHYD,0.0
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD100,0.0
3HAD120,0.0
3HAD121,0.0
3HAD140,0.0
3HAD141,0.0
3HAD160,0.0
3HAD161,0.010190150401167821
3HAD180,0.0
3HAD181,0.0
3HAD40,0.0
3HAD60,0.0
3HAD80,0.0
3HPPtex,0.0
3HPPtpp,0.0
3KGK,-0.0
3NTD2pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,0.0
3OAS100,0.0
3OAS120,0.0
3OAS121,0.0
3OAS140,0.0035214277322219408
3OAS141,0.0
3OAS160,0.0
3OAS161,0.010190150401167821
3OAS180,0.0
3OAS181,0.0
3OAS60,0.0
3OAS80,0.0
3OXCOAT,-0.0
3PEPTabcpp,0.0
3PEPTtex,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4HOXPACDtex,0.0
4HTHRS,0.0
4PCP,0.0
4PCPpp,0.0
4PEPTabcpp,0.0
4PEPTtex,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
5DOAN,2.4949386766754645e-05
5MTRtex,-0.0007283924863852524
5MTRtpp,0.0007283924863852524
A5PISO,0.002641070799166456
AACPS1,0.0008803569330554852
AACPS2,0.010190150401167821
AACPS3,0.013101344214635808
AACPS4,0.0
AACPS5,0.005251899917403511
AACPS6,0.0
AACPS7,0.004401784665277426
AACPS8,0.0
AACPS9,0.0
AACTOOR,0.0
AADDGT,0.0
AAMYL,-0.0
AAMYLpp,0.0
AB6PGH,0.0
ABTA,0.0
ABUTt2pp,0.0
ABUTtex,0.0
ACACCT,0.0
ACACT1r,0.03382586014955001
ACACT2r,0.03382586014955001
ACACT3r,0.03382586014955001
ACACT4r,0.03382553613154005
ACACT5r,0.03382553613154005
ACACT6r,0.029423751466262627
ACACT7r,0.018353244132039318
ACACT8r,-0.005251899917403511
ACACt2pp,0.0
ACACtex,0.0
ACALDtex,0.0
ACALDtpp,0.0
ACANTHAT,0.0
ACBIPGT,0.0
ACCOAC,0.013715574355512575
ACCOAL,0.0908623184184175
ACGAL1PPpp,0.0
ACGAL1Ptex,0.0
ACGALtex,0.0
ACGAM1PPpp,0.0
ACGAM1Ptex,0.0
ACGAMK,0.0
ACGAMT,0.0
ACGAptspp,0.0
ACGAtex,0.0
ACGK,0.03536483769084649
ACGS,0.03536483769084649
ACHBS,0.030490742773053834
ACKr,-8.377865486572912
ACLS,0.091755204047858
ACM6PH,0.0
ACMAMUT,0.0
ACMANAptspp,0.0
ACMANAtex,0.0
ACMUMptspp,0.0
ACMUMtex,0.0
ACNAMt2pp,0.0
ACNAMtex,0.0
ACNML,0.0
ACOAD1f,-0.03382586014955001
ACOAD2f,-0.03382586014955001
ACOAD3f,-0.03382586014955001
ACOAD4f,-0.03382553613154005
ACOAD5f,-0.03382553613154005
ACOAD6f,-0.019233601065094807
ACOAD7f,-0.018353244132039318
ACOAD8f,0.0
ACOATA,0.0
ACODA,0.03536483769084649
ACOLIPAabctex,-0.0
ACONIs,0.0
ACONMT,0.0
ACONTa,0.08254931235493881
ACONTb,0.08254931235493881
ACOTA,-0.03536483769084649
ACPPAT120,0.0
ACPPAT140,0.0
ACPPAT141,0.0
ACPPAT160,0.0
ACPPAT161,0.0
ACPPAT180,0.0
ACPPAT181,0.0
ACPS1,-0.0
ACS,0.0
ACSERtex,0.0
ACSERtpp,0.0
ACt2rpp,-8.441761082094576
ACt4pp,0.0
ACtex,-8.441761082094576
ADA,0.0
ADCL,9.63413549608049e-05
ADCS,9.63413549608049e-05
ADD,0.0
ADEt2rpp,0.0
ADEtex,0.0
ADK1,0.27376810890754794
ADK3,0.0
ADK4,0.0
ADMDC,0.0007283924863852524
ADNCYC,0.0
ADNK1,0.0008980699175998477
ADNUC,0.0
ADNt2rpp,0.0
ADNtex,0.0
ADOCBIK,0.0
ADOCBLS,0.0
ADOCBLabcpp,0.0
ADOCBLtonex,0.0
ADPRDP,0.0
ADPT,0.0
ADSK,0.026770043964707776
ADSL1r,0.0313608391357919
ADSL2r,0.046967706615428456
ADSS,0.0313608391357919
AGDC,0.0
AGM3PA,0.0
AGM3PApp,0.0
AGM3PH,0.0
AGM3Pt2pp,0.0
AGM4PA,0.0
AGM4PApp,0.0
AGM4PCP,0.0
AGM4PCPpp,0.0
AGM4PH,0.0
AGM4Pt2pp,0.0
AGMH,0.0
AGMHE,0.0035214277322219408
AGMT,0.0
AGMt2pp,0.0
AGMtex,0.0
AGPAT120,0.0
AGPAT140,0.0
AGPAT141,0.0
AGPAT160,0.006550672107317904
AGPAT161,0.005095075200583911
AGPAT180,0.0
AGPAT181,0.0026259499587017554
AGt3,-0.0
AHCYSNS,0.0001447280444478408
AICART,0.05691030725698848
AIRC2,0.046967706615428456
AIRC3,-0.046967706615428456
AKGt2rpp,0.0
AKGtex,0.0
ALAALAD,0.0
ALAALAabcpp,6.534363200816691e-05
ALAALAr,0.0029131379215277323
ALAALAtex,0.0
ALAGLUE,0.0
ALAR,0.0026226017725988577
ALATA_D2,0.0
ALATA_L,-0.10373209776193677
ALATA_L2,0.0
ALATRS,0.0
ALAabcpp,0.0
ALAt2rpp,0.0
ALAt4pp,0.0
ALAtex,0.0
ALLK,0.0
ALLPI,0.0
ALLTAMH,0.0
ALLTN,0.0
ALLTNt2rpp,0.0
ALLTNtex,0.0
ALLULPE,0.0
ALLabcpp,0.0
ALLtex,0.0
ALPATE160pp,0.0
ALPATG160pp,0.0
ALTRH,0.0
AM3PA,0.0
AM4PA,0.0
AM4PCP,0.0
AMALT1,0.0
AMALT2,0.0
AMALT3,0.0
AMALT4,0.0
AMANAPEr,0.0
AMANK,0.0
AMAOTr,2.160120066385683e-07
AMMQLT8,2.4085338740200366e-05
AMPN,0.0
AMPTASECG,0.0
AMPTASEPG,0.0
AMPtex,0.0
ANHGMtex,0.0
ANHMK,0.0
ANPRT,0.005965603587337341
ANS,0.005965603587337341
AOBUTDs,0.0
AOXSr2,2.160120066385683e-07
AP4AH,0.0
AP4AS,0.0
AP5AH,-0.0
APCS,0.0
APG3PAT120,0.0
APG3PAT140,0.0
APG3PAT141,0.0
APG3PAT160,0.0
APG3PAT161,0.0
APG3PAT180,0.0
APG3PAT181,0.0
APH120,0.0
APH140,0.0
APH141,0.0
APH160,0.0
APH161,0.0
APH180,0.0
APH181,0.0
ARAI,0.0
ARBTNR1,0.0
ARBTNR2,0.0
ARBTNR3,0.0
ARBTNabcpp,0.0
ARBTNexs,0.0
ARBTNtex,0.0
ARBTNtonex,0.0
ARBTNtpp,0.0
ARBTptspp,0.0
ARBTtex,0.0
ARBabcpp,0.0
ARBt2rpp,0.0
ARBtex,0.0
ARGAGMt7pp,0.0
ARGDC,0.0
ARGDCpp,0.0
ARGORNt7pp,0.0
ARGSL,0.031043085474028655
ARGSS,0.031043085474028655
ARGTRS,0.0
ARGabcpp,0.0
ARGt3pp,0.0
ARGtex,0.0
ASCBPL,0.0
ASCBptspp,0.0
ASCBtex,0.0
ASNN,0.0
ASNNpp,0.0
ASNS1,0.0
ASNS2,0.025298462169482568
ASNTRS,0.0
ASNabcpp,0.0
ASNt2rpp,0.0
ASNtex,0.0
ASO3t8pp,-0.0
ASO3tex,0.0
ASP1DC,6.221145791187396e-05
ASPCT,0.034596915007246376
ASPK,0.05587474569716528
ASPO3,0.0
ASPO4,0.0
ASPO5,0.0002461456815646486
ASPO6,0.0
ASPT,0.0
ASPTA,-0.2507485734081023
ASPTRS,0.0
ASPabcpp,0.0
ASPt2_2pp,0.0
ASPt2_3pp,0.0
ASPt2rpp,0.0
ASPtex,0.0
ASR,-0.0
AST,0.0
ATPHs,0.0
ATPM,0.0
ATPPRT,0.009942600641560021
ATPS4rpp,0.0
BALAt2pp,0.0
BALAtex,0.0
BMOCOS,1.2528696385036963e-05
BMOGDS1,1.2528696385036963e-05
BMOGDS2,1.2528696385036963e-05
BPNT,0.026770043964707776
BTNt2ipp,0.0
BTNtex,0.0
BTS5,2.160120066385683e-07
BUTCT,0.0
BUTSO3abcpp,0.0
BUTSO3tex,0.0
BUTt2rpp,0.0
BUTtex,0.0
BWCOGDS1,0.0
BWCOGDS2,0.0
BWCOS,0.0
CA2t3pp,0.0
CA2tex,0.0005348457284370951
CADVtpp,0.0
CAT,0.0
CAt6pp,-0.0005348457284370951
CBIAT,0.0
CBItonex,0.0
CBIuabcpp,0.0
CBL1abcpp,2.4085338740200366e-05
CBL1tonex,2.4085338740200366e-05
CBLAT,2.4085338740200366e-05
CBMD,0.0
CBMKr,0.06564000048127502
CBPS,0.0
CCGS,0.0
CD2abcpp,0.0
CD2t3pp,0.0
CD2tex,0.0
CD2tpp,0.0
CDAPPA120,0.0
CDAPPA140,0.0
CDAPPA141,0.0
CDAPPA160,0.0
CDAPPA161,0.0
CDAPPA180,0.0
CDAPPA181,0.0
CDGS,0.0
CDPMEK,0.0007156477779935768
CFAS160E,0.0
CFAS160G,0.0
CFAS180E,0.0
CFAS180G,0.0
CGLYabcpp,0.0
CGLYtex,0.0
CHLabcpp,0.0
CHLt2pp,0.0
CHLtex,0.0
CHORM,0.033939482465041894
CHORS,0.04017002477852144
CHRPL,2.4085338740200366e-05
CHTBSptspp,0.0
CHTBStex,0.0
CITL,0.0
CITt3pp,0.0
CITt7pp,0.0
CITtex,0.0
CLIPAabctex,0.0
CLPNH120pp,0.0
CLPNH140pp,0.0
CLPNH141pp,0.0
CLPNH160pp,0.0
CLPNH161pp,0.0
CLPNH180pp,0.0
CLPNH181pp,0.0
CLPNS120pp,0.0
CLPNS140pp,0.0
CLPNS141pp,0.0
CLPNS160pp,0.00031796967377197255
CLPNS161pp,0.0002473337476011607
CLPNS180pp,0.0
CLPNS181pp,0.00012744708391675531
CLt3_2pp,0.00026742286421854754
CLtex,0.0005348457284370951
CMPN,0.0
CMPtex,0.0
CMtex,0.0
CMtpp,0.0
CO2tex,-8.699626333070407
CO2tpp,-8.699626333070407
COBALT2abcpp,0.0
COBALT2t3pp,0.0
COBALT2tex,2.59214407966282e-06
COBALT2tpp,2.59214407966282e-06
COLIPAKpp,0.0
COLIPAPabctex,0.0
COLIPAabcpp,0.0008803569330554852
COLIPAabctex,0.0008803569330554852
CPGNR1,0.0
CPGNR2,0.0
CPGNR3,0.0
CPGNUtex,0.0
CPGNUtpp,0.0
CPGNabcpp,0.0
CPGNexs,0.0
CPGNtonex,0.0
CPH4S,0.0
CPMPS,2.6569476816543906e-05
CPPPGO,4.817067748040073e-05
CPPPGO2,0.0
CRNBTCT,0.0
CRNCAL2,0.0
CRNCAR,0.0
CRNCBCT,0.0
CRNCDH,0.0
CRNDCAL2,0.0
CRNDabcpp,0.0
CRNDt2rpp,0.0
CRNDtex,0.0
CRNabcpp,0.0
CRNt2rpp,0.0
CRNt7pp,0.0
CRNt8pp,0.0
CRNtex,0.0
CS,0.08254931235493881
CSND,0.0
CSNt2pp,0.0
CSNtex,0.0
CTBTCAL2,0.0
CTBTabcpp,0.0
CTBTt2rpp,0.0
CTECOAI6,-0.010190150401167821
CTECOAI7,0.0
CTECOAI8,-0.005251899917403511
CTPS2,0.016786077023876505
CU1Opp,0.0
CU1abcpp,0.0
CU2abcpp,0.0
CU2tex,7.279604623719753e-05
CU2tpp,7.279604623719753e-05
CUt3,0.0
CUtex,0.0
CYANST,0.0
CYANSTpp,0.0
CYANtex,0.0
CYNTAH,0.0
CYNTt2pp,0.0
CYNTtex,0.0
CYSDDS,0.0
CYSDS,0.0
CYSDabcpp,0.0
CYSDtex,0.0
CYSS,0.026770043964707776
CYSSADS,-0.0
CYSTL,0.016881878348820708
CYSTRS,0.0
CYSabcpp,0.0
CYStex,0.0
CYStpp,0.0
CYTBD2pp,9.63413549608049e-05
CYTBDpp,5.211360656101632
CYTBO3_4pp,0.0
CYTD,0.0
CYTDH,0.0
CYTDK2,0.0
CYTDt2rpp,0.0
CYTDtex,0.0
CYTK1,0.017690627301675477
CYTK2,0.0
D-LACt2pp,0.0
D-LACtex,0.0
DAAD,0.0
DADA,0.0
DADK,0.0
DADNt2pp,0.0
DADNtex,0.0
DAGK120,0.0
DAGK140,0.0
DAGK141,0.0
DAGK160,0.0
DAGK161,0.0
DAGK180,0.0
DAGK181,0.0
DALAt2pp,0.003203674070456607
DALAtex,0.0
DAMPtex,0.0
DAPAL,0.0
DAPDC,0.036014385794808666
DAPE,0.03899286734834457
DAPabcpp,0.0
DAPtex,0.0
DASYN120,0.0
DASYN140,0.0
DASYN141,0.0
DASYN160,0.006550672107317904
DASYN161,0.005095075200583911
DASYN180,0.0
DASYN181,0.0026259499587017554
DATPHs,0.0
DB4PS,9.634135496080147e-05
DBTS,2.160120066385683e-07
DC6PH,0.0
DCAtex,0.0
DCMPtex,0.0
DCTPD,0.0
DCYTD,0.0
DCYTt2pp,0.0
DCYTtex,0.0
DDCAtexi,0.0
DDGALK,0.0
DDGLCNt2rpp,0.0
DDGLCNtex,0.0
DDGLK,0.0
DDPA,0.04017002477852144
DDPGALA,0.0
DGK1,0.0
DGMPtex,0.0
DGSNt2pp,0.0
DGSNtex,0.0
DHACOAH,0.0
DHAD1,0.091755204047858
DHAD2,0.030490742773053834
DHAPT,0.0
DHAtex,0.0
DHAtpp,0.0
DHBS,7.225601622060111e-05
DHBSH,0.0
DHCINDO,0.0
DHDPS,0.03899286734834457
DHFS,9.63413549608049e-05
DHNAOT4,4.817067748040073e-05
DHNCOAS,4.817067748040073e-05
DHNCOAT,4.817067748040073e-05
DHNPA2r,9.63413549608049e-05
DHNPTE,0.0
DHORD2,0.0
DHORD5,0.0
DHORDfum,0.034596915007246376
DHORTS,-0.034596915007246376
DHPPDA2,4.817067748040073e-05
DHPS2,9.63413549608049e-05
DHPTDCs2,0.0001447280444478408
DHPTPE,0.0
DHQS,0.04017002477852144
DHQTi,0.04017002477852144
DIMPtex,0.0
DINSt2pp,0.0
DINStex,0.0
DMATT,0.0001022816851433621
DMQMT,2.4085338740200366e-05
DMSOR1,0.0
DMSOR1pp,0.0
DMSOR2,0.0
DMSOR2pp,0.0
DMSOtex,0.0
DMSOtpp,0.0
DMStex,0.0
DNMPPA,9.63413549608049e-05
DNTPPA,9.63413549608049e-05
DOPAtex,0.0
DOXRBCNtex,0.0
DOXRBCNtpp,0.0
DPCOAK,6.221145791187396e-05
DRPA,0.0
DSBAO1,0.0
DSBAO2,0.0
DSBCGT,0.0
DSBDR,-0.0
DSBGGT,0.0
DSERt2pp,0.0
DSERtex,0.0
DTARTD,0.0
DTMPK,0.0026790889123348436
DTMPtex,0.0
DUMPtex,0.0
DURIK1,0.0
DURIPP,0.0
DURIt2pp,0.0
DURItex,0.0
DUTPDP,0.0026790889123348436
DXPS,0.0007638184554739775
DXYLK,-0.0
ECA4COLIPAabctex,-0.0
ECA4OALpp,0.0
ECAP1pp,0.0
ECAP2pp,0.0
ECAP3pp,0.0
ECAtpp,-0.0
ECOAH1,0.03382586014955001
ECOAH2,0.03382586014955001
ECOAH3,0.03382586014955001
ECOAH4,0.03382553613154005
ECOAH5,0.03382553613154005
ECOAH6,0.029423751466262627
ECOAH7,0.018353244132039318
ECOAH8,0.005251899917403511
EDA,0.0
EDD,0.0
EDTXS1,0.0008803569330554852
EDTXS2,0.0008803569330554852
EDTXS3,0.0
EDTXS4,0.0
ENLIPAabctex,-0.0
ENO,-0.4547757118893464
ENTCS,2.408533874020037e-05
ENTERES,0.0
ENTERES2,0.0
ETHAAL,0.0
ETHAt2pp,0.0
ETHAtex,0.0
ETHSO3abcpp,0.0
ETHSO3tex,0.0
ETOHtex,0.0
ETOHtrpp,0.0
F6PA,-0.1144515495833699
F6PP,0.0
F6Pt6_2pp,0.0
F6Ptex,0.0
FA100ACPHi,0.0
FA120ACPHi,0.0
FA140ACPHi,0.0
FA141ACPHi,0.0
FA160ACPHi,0.0
FA161ACPHi,0.0
FA80ACPHi,0.0
FACOAE100,0.0
FACOAE120,0.004401784665277426
FACOAE140,0.0008803569330554852
FACOAE141,0.010190150401167821
FACOAE160,0.013101344214635808
FACOAE161,0.0
FACOAE180,0.0
FACOAE181,0.005251899917403511
FACOAE60,0.0
FACOAE80,3.240180099578525e-07
FACOAL100t2pp,0.0
FACOAL120t2pp,0.0
FACOAL140t2pp,0.0
FACOAL141t2pp,0.0
FACOAL160t2pp,0.0
FACOAL161t2pp,0.0
FACOAL180t2pp,0.0
FACOAL181t2pp,0.0
FACOAL60t2pp,0.0
FACOAL80t2pp,0.0
FALDtex,0.0
FALDtpp,0.0
FALGTHLs,0.0
FBA,0.0
FBA3,0.0
FBP,0.0
FCI,0.0
FCLK,0.0
FCLPA,0.0
FCLT,4.817067748040073e-05
FDH4pp,0.0
FDH5pp,0.0
FDMO,0.0
FDMO2,0.0
FDMO3,0.0
FDMO4,0.0
FDMO6,0.0
FE2abcpp,0.0
FE2t2pp,0.0
